Index,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
95,1,5000,300,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
96,2,12000,1200,1 out of 3,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
97,2,10000,500,3 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
98,4,18000,1200,1 out of 2,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
99,2,15000,900,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
100,3,22000,1300,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
101,4,35000,1600,1 out of 5,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
102,3,21000,1450,Ground out of 1,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
103,2,25000,1100,2 out of 2,Super Area,Kolkata,Furnished,Bachelors,2,Contact Agent
105,1,6000,600,8 out of 5,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
106,2,14000,700,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
107,3,8000,750,Ground out of 2,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner
108,2,8000,1000,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
109,1,6000,220,Ground out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
110,1,8000,300,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
111,1,6000,300,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
112,1,20000,700,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
113,3,12000,800,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
114,3,15000,1600,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
115,2,14000,1000,1 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
116,1,5000,20,2 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
117,2,7000,400,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
118,1,3900,200,2 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
119,3,14000,840,1 out of 4,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
120,1,6300,300,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
121,2,13000,550,1 out of 2,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
122,1,6800,300,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
123,2,8000,800,1 out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
124,2,10000,740,Ground out of 6,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
125,2,18000,1300,1 out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
126,2,8000,650,Ground out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
127,2,8000,490,1 out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
128,1,4700,250,2 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
129,1,4700,250,Ground out of 1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
130,1,4500,450,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
131,1,6000,300,Ground out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
132,2,16000,750,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
133,1,4700,250,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
134,2,14000,751,3 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
135,2,9000,900,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
136,2,5000,400,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
137,2,17500,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
138,2,8500,1000,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
139,3,15000,1500,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner
140,2,12500,750,1 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
141,1,13000,1200,2 out of 4,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
142,2,8000,700,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
143,2,8000,700,4 out of 4,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
144,2,8000,1000,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
145,2,7000,1200,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
146,2,2200,550,2 out of 3,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
147,2,8000,800,Ground out of 4,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
148,2,5500,280,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
149,3,20000,1100,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
150,2,7000,950,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
151,1,3500,250,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
152,2,5000,1000,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
153,3,20000,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
154,2,7000,650,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
155,2,10000,700,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
156,2,7000,700,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
157,3,12000,1000,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
158,2,14500,900,1 out of 4,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
159,1,6000,700,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
160,2,9500,700,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
161,2,10000,450,2 out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
162,1,3500,120,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
163,2,9000,800,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
164,3,40000,1220,2 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
165,3,16500,1100,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
166,3,8000,700,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner
167,2,12000,800,Ground out of 3,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
168,2,6500,670,2 out of 2,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner
169,4,40000,1300,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
170,1,5000,190,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
171,2,9000,700,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
172,1,7000,240,Ground out of 4,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
173,2,18000,850,2 out of 4,Carpet Area,Kolkata,Semi-Furnished,Family,1,Contact Owner
174,1,9000,950,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
175,1,5500,450,1 out of 2,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
176,2,7500,800,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
177,2,4000,600,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
178,3,10500,800,2 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
179,3,15000,1100,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
180,2,15000,800,Ground out of 2,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
181,1,50000,2200,2 out of 5,Super Area,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
182,2,12000,950,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
183,2,11000,550,2 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
184,2,12000,1800,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
185,2,8000,1000,Ground out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
186,2,18000,600,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
187,2,8000,750,2 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
188,2,7000,685,2 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
189,1,6500,44,Ground out of 1,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
190,4,13000,1200,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
191,2,9000,500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
192,4,10000,1110,2 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
193,2,12000,1000,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
194,2,5000,392,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
195,2,6000,700,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
196,1,5200,750,2 out of 4,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
197,3,15000,1500,1 out of 2,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
198,2,9000,900,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
199,1,24000,710,1 out of 1,Super Area,Kolkata,Furnished,Bachelors,1,Contact Agent
200,1,5500,400,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
201,1,10000,700,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
202,2,15000,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
203,1,4700,250,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
204,1,5000,500,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
205,2,5000,450,2 out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
206,3,15000,1400,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
207,1,5000,500,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
208,2,6000,700,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
209,3,18000,1200,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
210,2,8000,450,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
211,1,13000,500,2 out of 2,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Agent
212,2,7500,400,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
213,3,12000,1000,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
214,2,11000,750,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
215,1,6000,450,Ground out of 2,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner
216,3,20000,1000,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
217,2,7000,500,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
218,4,30000,1600,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
219,2,7500,550,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
220,1,6500,550,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
221,1,3000,200,2 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
222,2,5200,650,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
223,2,25000,1000,1 out of 1,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
224,2,12500,680,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
225,2,8500,720,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
226,2,3500,500,4 out of 5,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
227,2,7000,800,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
228,1,3000,160,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
229,2,14000,1200,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
230,1,18000,700,Ground out of 4,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
231,1,3500,1000,Ground out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
232,2,16000,1250,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
233,4,35000,1600,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
234,2,21000,700,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
235,1,4500,450,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
236,2,15000,839,1 out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
237,1,4500,230,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
238,1,5500,1800,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
239,2,8500,800,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
240,1,5000,500,Ground out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
241,2,8500,620,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
242,2,9000,650,2 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
243,1,7500,550,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
244,2,7000,450,1 out of 3,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner
245,3,15000,1350,1 out of 2,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner
246,2,7000,600,2 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
247,3,10000,1200,2 out of 4,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
248,2,7000,700,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
249,3,3200,800,1 out of 3,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
250,2,6000,600,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
251,2,12000,900,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
252,2,6000,750,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
253,3,10000,1250,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
254,3,12000,1000,2 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
255,2,8000,600,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
256,2,5300,650,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
257,2,5000,450,2 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
258,3,8500,800,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
259,3,22000,1000,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
260,2,7000,1000,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
261,3,25000,1400,5 out of 5,Carpet Area,Kolkata,Furnished,Bachelors,3,Contact Agent
